transaction_id,auth_code,card_id,account_id,merchant_id,merchant_name,mcc,amount,currency,entry_mode,pos_country,event_ts,response_code,event_type,dispute_reason_code,merchant_fraud_rate_lifetime,card_txn_count_next_24h
T210000000014,A21001893094,C0005126,AC0002563,M0000,TSYS*walmart #9802 DALLAS,5411,31.01,USD,CONTACTLESS,US,2025-02-24 04:33:02,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000015,A21001450350,C0046245,AC0023122,M0000,WALMART,5411,20.09,USD,CHIP,US,2024-06-14 14:47:40,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000016,A21002133387,C0068770,AC0034385,M0021,Amazon AUSTIN TX,5942,46.8,USD,CHIP,US,2024-01-27 23:08:14,APPROVED,CAPTURE,NONE,0.0020371502120488175,0
T210000000017,A21001862188,C0036196,AC0018098,M0003,Tom Thumb #2209,5411,41.08,USD,SWIPE,US,2024-06-10 00:55:41,APPROVED,CAPTURE,NONE,0.0013030686588233697,0
T210000000018,A21000133787,C0000007,AC0000003,M0004,TSYS*TARGET-9687,5311,13.95,USD,CONTACTLESS,US,2024-11-12 16:13:50,APPROVED,AUTH,NONE,0.0013874201598917135,0
T210000000019,A21002447468,C0107615,AC0053807,M0025,LYFT,4121,12.02,USD,MANUAL,US,2025-05-31 11:54:55,APPROVED,CAPTURE,NONE,0.001560688486578079,0
T210000000020,A21000371704,C0033922,AC0016961,M0001,Kroger-7648,5411,37.82,USD,ECOM,US,2024-09-14 10:11:41,APPROVED,CAPTURE,NONE,0.0014811295945980337,1
T210000000021,A21000385770,C0043820,AC0021910,M0009,mcdonalds 3560 IRVING TX,5814,10.61,USD,CONTACTLESS,US,2024-08-02 20:22:35,APPROVED,CAPTURE,NONE,0.001609937551369718,0
T210000000022,A21001478623,C0064845,AC0032422,M0017,home  depot,5200,67.02,USD,CHIP,US,2024-04-02 18:17:47,APPROVED,CAPTURE,NONE,0.0013315375432367076,0
T210000000023,A21000315121,C0068061,AC0034030,M0006,smsclb,5300,56.72,USD,MANUAL,US,2025-06-16 01:00:57,APPROVED,AUTH,NONE,0.0015988819669801265,2
T210000000024,A21000939422,C0031176,AC0015588,M0005,TSYS*costco wholesale#450,5300,83.82,USD,CHIP,US,2024-11-03 23:32:29,APPROVED,CAPTURE,NONE,0.001497526270597375,0
T210000000025,A21000540453,C0065112,AC0032556,M0002,H E B#3398,5411,9.76,USD,CHIP,US,2024-01-13 18:26:16,APPROVED,AUTH,NONE,0.0015082802806978277,0
T210000000026,A21002377003,C0024816,AC0012408,M0011,Pappadeaux  #2585 IRVING T,5812,46.75,USD,CONTACTLESS,US,2024-08-11 22:25:37,APPROVED,AUTH,NONE,0.0013375350849638764,0
T210000000027,A21002395818,C0002144,AC0001072,M0020,SQ *WALGREENS-4326,5912,20.83,USD,CHIP,US,2024-09-30 17:57:58,APPROVED,AUTH,NONE,0.0017113824761565203,0
T210000000028,A21002625903,C0048072,AC0024036,M0011,TSYS*Pappadeaux-0413 PLAN,5812,153.48,USD,CONTACTLESS,US,2025-02-11 11:27:59,APPROVED,AUTH,NONE,0.0013375350849638764,0
T210000000029,A21000203406,C0073050,AC0036525,M0001,PP*kroger,5411,10.68,USD,CHIP,US,2025-06-04 13:23:44,APPROVED,AUTH,NONE,0.0014811295945980337,0
T210000000030,A21001018314,C0035580,AC0017790,M0011,PAPPADEAUX,5812,32.68,USD,SWIPE,US,2024-05-22 14:29:33,APPROVED,CAPTURE,NONE,0.0013375350849638764,0
T210000000031,A21001558700,C0086397,AC0043198,M0007,whtbrgr 1046,5814,10.57,USD,SWIPE,US,2024-03-08 06:18:11,APPROVED,AUTH,NONE,0.0016542371027609354,1
T210000000032,A21001250732,C0016919,AC0008459,M0002,H E B FRISCO TX,5411,33.77,USD,CHIP,US,2025-04-02 02:49:27,APPROVED,AUTH,NONE,0.0015082802806978277,1
T210000000033,A21001292613,C0051904,AC0025952,M0002,H E B,5411,34.93,USD,CONTACTLESS,US,2024-11-27 22:35:23,APPROVED,AUTH,NONE,0.0015082802806978277,0
T210000000034,A21000338569,C0024927,AC0012463,M0001,KROGER,5411,21.42,USD,SWIPE,US,2024-10-16 16:44:03,APPROVED,AUTH,NONE,0.0014811295945980337,0
T210000000035,A21002222181,C0013611,AC0006805,M0032,SQ *APPLE AUSTIN TX,5732,134.37,USD,CONTACTLESS,US,2024-12-04 05:51:08,APPROVED,AUTH,NONE,0.0015303709062578258,0
T210000000036,A21001035669,C0099722,AC0049861,M0000,WLMRT#4091,5411,8.96,USD,ECOM,US,2025-04-14 23:08:33,APPROVED,AUTH,NONE,0.0015372307086039057,1
T210000000037,A21000190273,C0004172,AC0002086,M0002,SQ  *hb,5411,26.45,USD,CHIP,US,2025-02-23 11:51:01,APPROVED,CAPTURE,NONE,0.0015082802806978277,0
T210000000038,A21000437455,C0006824,AC0003412,M0000,WALMART  DENTON TX,5411,58.57,USD,ECOM,US,2024-10-11 19:24:53,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000039,A21002227071,C0064460,AC0032230,M0000,WALMART,5411,114.08,USD,ECOM,US,2025-06-22 07:05:54,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000040,A21001578456,C0045235,AC0022617,M0000,Wlmrt 6558,5411,18.56,USD,CHIP,US,2024-08-28 10:22:47,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000041,A21001257157,C0044546,AC0022273,M0005,PAYPAL  *CSTCWHLSL,5300,440.34,USD,CHIP,US,2025-01-22 16:46:00,APPROVED,AUTH,NONE,0.001497526270597375,0
T210000000042,A21001585874,C0082794,AC0041397,M0012,Starbucks,5814,6.07,USD,CONTACTLESS,US,2024-12-06 17:37:30,APPROVED,AUTH,NONE,0.0012995812460429416,0
T210000000043,A21001693049,C0093874,AC0046937,M0010,Torchys Tacos-8640,5812,16.11,USD,CONTACTLESS,US,2025-06-06 12:20:02,APPROVED,AUTH,NONE,0.0015759126388193634,0
T210000000044,A21002237186,C0075566,AC0037783,M0005,CSTCWHLSL HOUSTON TX,5300,109.86,USD,CHIP,US,2024-08-26 06:55:47,APPROVED,AUTH,NONE,0.001497526270597375,0
T210000000045,A21000661331,C0021862,AC0010931,M0000,WALMART #1464 HOUSTON TX,5411,42.75,USD,CHIP,US,2025-03-30 01:30:46,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000046,A21002473180,C0065281,AC0032640,M0000,PP*walmart #7781,5411,34.86,USD,ECOM,US,2024-11-19 13:40:02,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000047,A21001360955,C0067363,AC0033681,M0042,prmcrypttpp,6051,282.42,USD,ECOM,GB,2025-05-16 01:54:31,APPROVED,AUTH,4837,1.0,2
T210000000048,A21001439428,C0107876,AC0053938,M0002,H E B,5411,44.7,USD,CHIP,US,2024-06-03 05:53:24,APPROVED,AUTH,NONE,0.0015082802806978277,1
T210000000049,A21000961322,C0056725,AC0028362,M0005,SP COSTCO WHOLESALE DENTO,5300,49.42,USD,ECOM,US,2024-01-20 09:22:19,APPROVED,CAPTURE,NONE,0.001497526270597375,0
T210000000050,A21001295268,C0081220,AC0040610,M0001,Kroger #1856 AUSTIN TX,5411,33.56,USD,ECOM,US,2024-10-02 13:51:21,APPROVED,CAPTURE,NONE,0.0014811295945980337,0
T210000000051,A21001276686,C0004238,AC0002119,M0000,wlmrt 8099 AUSTIN TX,5411,33.0,USD,CONTACTLESS,US,2024-07-13 12:10:58,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000052,A21001590188,C0043744,AC0021872,M0000,Walmart,5411,29.49,USD,SWIPE,US,2025-01-22 23:21:30,APPROVED,AUTH,NONE,0.0015372307086039057,1
T210000000053,A21001254311,C0043010,AC0021505,M0001,krgr #2651 HOUSTON TX,5411,32.77,USD,CHIP,US,2025-01-01 10:03:47,APPROVED,AUTH,NONE,0.0014811295945980337,0
T210000000054,A21001553547,C0032667,AC0016333,M0001,Kroger-7648,5411,61.82,USD,CHIP,US,2025-05-19 18:11:44,APPROVED,CAPTURE,NONE,0.0014811295945980337,0
T210000000055,A21002458217,C0019511,AC0009755,M0002,TSYS*H E B PLANO TX,5411,52.32,USD,ECOM,US,2024-03-29 10:08:12,APPROVED,CAPTURE,NONE,0.0015082802806978277,0
T210000000056,A21001960675,C0045737,AC0022868,M0011,Pppdx,5812,90.98,USD,ECOM,US,2024-07-21 14:03:51,APPROVED,AUTH,NONE,0.0013375350849638764,1
T210000000057,A21001801660,C0031919,AC0015959,M0008,CHICK FIL A#0637 AUSTIN T,5814,16.51,USD,CHIP,US,2024-01-16 23:14:29,APPROVED,CAPTURE,NONE,0.0015957446808510637,0
T210000000058,A21001286500,C0061727,AC0030863,M0000,walmart #1784,5411,35.38,USD,ECOM,US,2025-04-27 01:53:42,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000059,A21001112372,C0026735,AC0013367,M0004,target  0544,5311,55.51,USD,CHIP,US,2025-05-02 13:19:26,APPROVED,CAPTURE,NONE,0.0013874201598917135,0
T210000000060,A21001961960,C0049580,AC0024790,M0000,WALMART #4340,5411,41.67,USD,CONTACTLESS,US,2025-03-27 11:11:49,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000061,A21002216019,C0089744,AC0044872,M0016,SQ  *Best Buy #1364,5732,108.32,USD,CONTACTLESS,US,2025-04-28 13:10:24,APPROVED,CAPTURE,NONE,0.0015572281339216196,0
T210000000062,A21000079764,C0017946,AC0008973,M0004,TARGET#3275,5311,66.7,USD,CHIP,US,2024-01-19 10:08:59,APPROVED,CAPTURE,NONE,0.0013874201598917135,0
T210000000063,A21000902747,C0021641,AC0010820,M0000,SQ  *Walmart#8009,5411,21.51,USD,CHIP,US,2024-10-20 14:05:08,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000064,A21000753659,C0074023,AC0037011,M0002,h e b HOUSTON TX,5411,39.21,USD,CONTACTLESS,US,2024-10-16 17:11:15,APPROVED,CAPTURE,NONE,0.0015082802806978277,0
T210000000065,A21002590178,C0083639,AC0041819,M0002,TST* HB,5411,16.46,USD,ECOM,US,2024-05-24 01:33:48,APPROVED,CAPTURE,NONE,0.0015082802806978277,0
T210000000066,A21000165216,C0006519,AC0003259,M0001,kroger 7053,5411,33.46,USD,CHIP,US,2024-01-01 08:53:34,APPROVED,AUTH,NONE,0.0014811295945980337,0
T210000000067,A21001526064,C0072187,AC0036093,M0017,home depot,5200,16.12,USD,CONTACTLESS,US,2025-01-05 09:24:43,APPROVED,CAPTURE,NONE,0.0013315375432367076,0
T210000000068,A21001440302,C0106469,AC0053234,M0028,marriott,3509,177.24,USD,CONTACTLESS,US,2024-04-18 14:19:18,APPROVED,AUTH,NONE,0.0016728167281672816,0
T210000000069,A21000727119,C0062929,AC0031464,M0001,kroger 0885,5411,11.56,USD,CHIP,US,2025-06-23 02:35:42,APPROVED,AUTH,NONE,0.0014811295945980337,0
T210000000070,A21000039755,C0067949,AC0033974,M0005,COSTCO WHOLESALE,5300,130.25,USD,CHIP,US,2024-09-22 05:04:45,APPROVED,CAPTURE,NONE,0.001497526270597375,0
T210000000071,A21000723058,C0024621,AC0012310,M0002,h e b ARLINGTON TX,5411,36.34,USD,CHIP,US,2025-03-08 18:30:00,APPROVED,CAPTURE,NONE,0.0015082802806978277,0
T210000000072,A21002236720,C0034762,AC0017381,M0009,Mcdonalds#7576,5814,5.45,USD,ECOM,US,2025-03-26 07:18:03,APPROVED,AUTH,NONE,0.001609937551369718,0
T210000000073,A21002258383,C0083291,AC0041645,M0000,walmart DENTON TX,5411,151.04,USD,SWIPE,US,2024-06-14 06:46:55,APPROVED,CAPTURE,NONE,0.0015372307086039057,3
T210000000074,A21001710928,C0073278,AC0036639,M0000,WALMART ,5411,66.36,USD,CONTACTLESS,US,2025-05-18 01:58:35,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000075,A21001551761,C0093043,AC0046521,M0019,cvsphrmcy #5370,5912,10.73,USD,CHIP,US,2024-08-04 18:22:14,APPROVED,AUTH,NONE,0.0013572434385762517,0
T210000000076,A21000691378,C0039786,AC0019893,M0000,walmart ,5411,10.11,USD,ECOM,US,2024-10-28 15:52:18,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000077,A21001308745,C0104327,AC0052163,M0006,SP SAMS CLUB #3062 IRVING,5300,204.39,USD,CHIP,US,2025-05-24 22:00:42,APPROVED,CAPTURE,NONE,0.0015988819669801265,0
T210000000078,A21000778382,C0034363,AC0017181,M0000,WLMRT#4091,5411,50.07,USD,ECOM,US,2024-10-16 19:33:44,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000079,A21001070141,C0106735,AC0053367,M0000,TSYS*Walmart#8574 ARLINGT,5411,29.49,USD,ECOM,US,2024-05-04 07:55:47,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000080,A21001135326,C0096247,AC0048123,M0000,walmart#1452 ,5411,125.37,USD,CONTACTLESS,US,2024-08-30 09:01:07,APPROVED,CAPTURE,NONE,0.0015372307086039057,1
T210000000081,A21001459089,C0026421,AC0013210,M0000,Walmart,5411,8.88,USD,CONTACTLESS,US,2025-03-05 08:18:38,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000082,A21001164606,C0029732,AC0014866,M0000,TST* walmart 3931 FRISCO ,5411,12.42,USD,CONTACTLESS,US,2024-09-18 09:02:14,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000083,A21002522820,C0026748,AC0013374,M0000,Walmart #2542,5411,32.03,USD,CHIP,US,2024-10-31 01:12:06,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000084,A21000913273,C0037571,AC0018785,M0001,PP*KROGER-2562 ,5411,60.23,USD,ECOM,US,2024-08-11 15:19:55,APPROVED,AUTH,NONE,0.0014811295945980337,1
T210000000085,A21001166859,C0076270,AC0038135,M0000,SP Wlmrt#9227,5411,30.14,USD,CHIP,US,2024-07-22 00:45:50,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000086,A21000139154,C0098596,AC0049298,M0017,HOME DEPOT#8943,5200,26.6,USD,SWIPE,US,2025-01-29 15:54:17,APPROVED,AUTH,NONE,0.0013315375432367076,0
T210000000087,A21001480058,C0028180,AC0014090,M0000,WALMART ,5411,22.93,USD,CHIP,US,2024-09-21 05:20:31,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000088,A21002214608,C0084246,AC0042123,M0014,EXXONMOBIL 3704,5541,55.54,USD,SWIPE,US,2025-04-19 03:18:51,APPROVED,AUTH,NONE,0.0015794568706373872,1
T210000000089,A21001031241,C0072905,AC0036452,M0000,PP*walmart #7781,5411,20.21,USD,CHIP,US,2024-07-07 19:49:07,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000090,A21000219036,C0068628,AC0034314,M0002,H E B#3398,5411,16.9,USD,CHIP,US,2024-06-23 00:27:43,APPROVED,CAPTURE,NONE,0.0015082802806978277,0
T210000000091,A21000556824,C0060427,AC0030213,M0004,SP TARGET 5430,5311,7.77,USD,ECOM,US,2024-02-22 23:35:10,APPROVED,CAPTURE,NONE,0.0013874201598917135,2
T210000000092,A21000188874,C0025383,AC0012691,M0000,WALMART #4340,5411,61.92,USD,CONTACTLESS,US,2025-02-22 14:37:30,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000093,A21002264868,C0050206,AC0025103,M0006,SmsClb #9537,5300,101.41,USD,CHIP,US,2024-06-12 23:51:47,APPROVED,AUTH,NONE,0.0015988819669801265,0
T210000000094,A21001409147,C0031831,AC0015915,M0003,SP tom thumb 8312 PLANO T,5411,27.28,USD,ECOM,US,2025-06-06 23:58:12,APPROVED,CAPTURE,NONE,0.0013030686588233697,0
T210000000095,A21001477852,C0083747,AC0041873,M0000,Walmart,5411,50.38,USD,ECOM,US,2024-09-20 13:51:29,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000096,A21001861208,C0050277,AC0025138,M0001,PP*KROGER-2562 ,5411,60.84,USD,CONTACTLESS,US,2025-06-01 13:19:26,APPROVED,CAPTURE,NONE,0.0014811295945980337,0
T210000000097,A21001027769,C0075859,AC0037929,M0007,WHATABURGER,5814,6.35,USD,SWIPE,US,2025-01-09 22:00:48,APPROVED,AUTH,NONE,0.0016542371027609354,1
T210000000098,A21001856903,C0050761,AC0025380,M0020,walgreens,5912,32.27,USD,CHIP,US,2024-05-12 16:39:18,APPROVED,CAPTURE,NONE,0.0017113824761565203,0
T210000000099,A21001959605,C0019116,AC0009558,M0000,Walmart#2101 IRVING TX,5411,79.48,USD,ECOM,US,2024-10-05 19:51:31,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000100,A21001730809,C0083484,AC0041742,M0005,cstcwhlsl #2590,5300,121.0,USD,CONTACTLESS,US,2024-01-24 16:29:51,APPROVED,AUTH,NONE,0.001497526270597375,0
T210000000101,A21001117614,C0078181,AC0039090,M0001,KRGR-8390,5411,8.69,USD,CHIP,US,2024-01-23 18:07:40,APPROVED,AUTH,NONE,0.0014811295945980337,1
T210000000102,A21000706877,C0000874,AC0000437,M0031,TST* oncrlctrc#7428,4900,71.3,USD,SWIPE,US,2024-08-30 09:07:33,APPROVED,CAPTURE,NONE,0.0014104754929883093,0
T210000000103,A21000112499,C0013632,AC0006816,M0008,Chick Fil A DALLAS TX,5814,9.74,USD,ECOM,US,2024-03-25 11:46:57,APPROVED,AUTH,NONE,0.0015957446808510637,0
T210000000104,A21001963884,C0023740,AC0011870,M0007,SP WHTBRGR,5814,12.6,USD,ECOM,US,2025-03-14 00:37:12,APPROVED,AUTH,NONE,0.0016542371027609354,0
T210000000105,A21002470594,C0015750,AC0007875,M0023,SPTFY,5968,8.33,USD,CHIP,US,2025-01-27 06:17:41,APPROVED,AUTH,NONE,0.0017821295423819084,0
T210000000106,A21001457172,C0029086,AC0014543,M0001,Kroger #3775 PLANO TX,5411,10.97,USD,CHIP,US,2025-02-12 06:32:31,APPROVED,CAPTURE,NONE,0.0014811295945980337,0
T210000000107,A21001194447,C0107759,AC0053879,M0001,SP  KROGER,5411,73.22,USD,CHIP,US,2024-12-27 10:03:13,APPROVED,CAPTURE,NONE,0.0014811295945980337,0
T210000000108,A21001991091,C0043115,AC0021557,M0016,BEST BUY #0515,5732,137.69,USD,SWIPE,US,2025-03-18 14:54:49,APPROVED,AUTH,NONE,0.0015572281339216196,0
T210000000109,A21000574402,C0042115,AC0021057,M0002,hb,,14.99,USD,CHIP,US,2024-11-08 22:56:41,APPROVED,CAPTURE,NONE,0.0015082802806978277,0
T210000000110,A21001401052,C0041303,AC0020651,M0019,cvsphrmcy #6987,5912,15.7,USD,CHIP,US,2024-02-23 14:47:23,APPROVED,AUTH,NONE,0.0013572434385762517,1
T210000000111,A21000986035,C0004084,AC0002042,M0010,Torchys Tacos 0588 AUSTIN,5812,38.65,USD,SWIPE,US,2025-03-26 08:12:07,APPROVED,AUTH,NONE,0.0015759126388193634,1
T210000000112,A21000226346,C0011282,AC0005641,M0001,Kroger PLANO TX,5411,47.92,USD,CHIP,US,2024-12-22 08:25:27,APPROVED,CAPTURE,NONE,0.0014811295945980337,0
T210000000113,A21002248341,C0102432,AC0051216,M0016,SP BSTBY-7508,5732,117.6,USD,ECOM,US,2024-07-24 14:23:53,APPROVED,CAPTURE,NONE,0.0015572281339216196,0
T210000000114,A21000801242,C0018269,AC0009134,M0001,kroger DENTON TX,,47.54,USD,CONTACTLESS,US,2024-09-14 06:15:13,APPROVED,AUTH,NONE,0.0014811295945980337,0
T210000000115,A21001297119,C0088325,AC0044162,M0000,walmart 2758 HOUSTON TX,5411,81.48,USD,CONTACTLESS,US,2025-05-12 01:07:24,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000116,A21000760264,C0087844,AC0043922,M0010,TORCHYS TACOS DALLAS TX,5812,34.87,USD,CHIP,US,2024-06-18 09:32:26,APPROVED,CAPTURE,NONE,0.0015759126388193634,0
T210000000117,A21001421162,C0004057,AC0002028,M0021,Amazon 9821 IRVING TX,5942,13.61,USD,CHIP,US,2025-03-07 19:03:28,APPROVED,AUTH,NONE,0.0020371502120488175,0
T210000000118,A21000038465,C0033072,AC0016536,M0000,SP walmart #9859,5411,165.45,USD,SWIPE,US,2024-10-31 16:00:04,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000119,A21002689422,C0087664,AC0043832,M0001,PP*kroger,5411,63.56,USD,CHIP,US,2024-12-03 23:56:54,APPROVED,CAPTURE,NONE,0.0014811295945980337,0
T210000000120,A21000574365,C0001093,AC0000546,M0002,H E B#8384 HOUSTON TX,5411,31.93,USD,CHIP,US,2024-04-05 23:06:17,APPROVED,CAPTURE,NONE,0.0015082802806978277,0
T210000000121,A21000393780,C0102457,AC0051228,M0014,EXXONMOBIL ,5541,40.95,USD,CHIP,US,2024-11-12 06:35:02,APPROVED,AUTH,NONE,0.0015794568706373872,0
T210000000122,A21002656556,C0021314,AC0010657,M0003,TmThmb #1843 HOUSTON TX,5411,9.06,USD,CONTACTLESS,US,2024-09-30 10:27:44,APPROVED,CAPTURE,NONE,0.0013030686588233697,0
T210000000123,A21002063030,C0035056,AC0017528,M0008,Chick Fil A,5814,22.79,USD,CONTACTLESS,US,2024-01-01 19:57:14,APPROVED,CAPTURE,NONE,0.0015957446808510637,0
T210000000124,A21001283748,C0033228,AC0016614,M0001,kroger,5411,45.98,USD,CHIP,US,2024-06-06 11:00:18,APPROVED,CAPTURE,NONE,0.0014811295945980337,0
T210000000125,A21000799980,C0030917,AC0015458,M0001,Kroger,5411,120.36,USD,ECOM,US,2025-05-02 01:21:00,APPROVED,CAPTURE,NONE,0.0014811295945980337,0
T210000000126,A21001946385,C0007134,AC0003567,M0018,LOWES IRVING TX,5200,52.85,USD,SWIPE,US,2025-02-14 03:49:36,APPROVED,CAPTURE,NONE,0.0017305196365908764,0
T210000000127,A21001039952,C0103682,AC0051841,M0003,TMTHMB-9957,5411,47.9,USD,CONTACTLESS,US,2024-05-04 13:50:48,APPROVED,AUTH,NONE,0.0013030686588233697,1
T210000000128,A21001134740,C0048157,AC0024078,M0025,LYFT DALLAS TX,4121,36.81,USD,ECOM,US,2024-01-24 19:39:44,APPROVED,CAPTURE,NONE,0.001560688486578079,0
T210000000129,A21001697876,C0084042,AC0042021,M0008,Chick Fil A,5814,9.91,USD,CHIP,US,2024-09-10 18:55:13,APPROVED,AUTH,NONE,0.0015957446808510637,0
T210000000130,A21002091640,C0011241,AC0005620,M0011,PAPPADEAUX,5812,98.66,USD,CONTACTLESS,US,2025-03-10 19:15:05,APPROVED,AUTH,NONE,0.0013375350849638764,0
T210000000131,A21001635615,C0094379,AC0047189,M0001,SP Kroger ARLINGTON TX,5411,69.65,USD,CHIP,US,2024-04-10 09:15:33,APPROVED,AUTH,NONE,0.0014811295945980337,0
T210000000132,A21001888349,C0045108,AC0022554,M0001,PP*Krgr ARLINGTON TX,5411,25.87,USD,CHIP,US,2025-04-15 18:16:51,APPROVED,CAPTURE,NONE,0.0014811295945980337,2
T210000000133,A21001778526,C0058115,AC0029057,M0028,Mrrtt ,3509,285.22,USD,CHIP,US,2024-10-15 05:21:32,APPROVED,CAPTURE,NONE,0.0016728167281672816,0
T210000000134,A21000040324,C0058868,AC0029434,M0010,SQ  *Torchys Tacos #8258,5812,21.44,USD,SWIPE,US,2024-03-22 21:33:49,APPROVED,CAPTURE,NONE,0.0015759126388193634,0
T210000000135,A21000640829,C0008047,AC0004023,M0011,PAYPAL *pppdx,5812,40.65,USD,CHIP,US,2024-12-19 11:53:06,APPROVED,AUTH,NONE,0.0013375350849638764,0
T210000000136,A21000316180,C0037436,AC0018718,M0000,wlmrt,5411,28.14,USD,CONTACTLESS,US,2024-04-19 11:23:38,APPROVED,CAPTURE,NONE,0.0015372307086039057,0
T210000000137,A21001600176,C0106149,AC0053074,M0034,ROSS STORES,,26.66,USD,CONTACTLESS,US,2024-01-10 16:21:45,APPROVED,CAPTURE,NONE,0.0015292318550758734,0
T210000000138,A21002389264,C0030223,AC0015111,M0000,WALMART 3927,5411,6.77,USD,SWIPE,US,2024-09-04 16:28:54,APPROVED,AUTH,NONE,0.0015372307086039057,0
T210000000139,A21001739131,C0068936,AC0034468,M0000,wlmrt,5411,121.74,USD,CONTACTLESS,US,2025-03-02 07:43:16,APPROVED,CAPTURE,NONE,0.0015372307086039057,1
T210000000140,A21001567484,C0092911,AC0046455,M0003,Tom Thumb#3740,5411,24.35,USD,CHIP,US,2025-06-02 07:57:31,APPROVED,CAPTURE,NONE,0.0013030686588233697,0
T210000000141,A21000110737,C0074827,AC0037413,M0004,SP TARGET 5430,5311,17.93,USD,CHIP,US,2024-04-12 22:44:15,APPROVED,AUTH,NONE,0.0013874201598917135,0
